GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
librarySystem,com.capgemini.librarySystem.controllers,BooksApiController,117,0,2,0,29,0,12,0,11,0
librarySystem,com.capgemini.librarySystem.service,UserServiceImpl,20,0,0,0,4,0,3,0,3,0
librarySystem,com.capgemini.librarySystem.service,BooksServiceImpl,81,0,0,0,20,0,11,0,11,0
librarySystem,com.capgemini.librarySystem.models,User,50,0,0,0,19,0,10,0,10,0
librarySystem,com.capgemini.librarySystem.models,Books.BooksBuilder,63,0,0,0,1,0,9,0,9,0
librarySystem,com.capgemini.librarySystem.models,ERole,15,0,0,0,3,0,1,0,1,0
librarySystem,com.capgemini.librarySystem.models,Role,23,0,0,0,11,0,6,0,6,0
librarySystem,com.capgemini.librarySystem.models,Books,287,0,50,0,31,0,44,0,19,0
librarySystem,com.capgemini.librarySystem,LibrarySystemApplication,8,0,0,0,3,0,2,0,2,0
librarySystem,com.capgemini.librarySystem.config,OpenApiConfig,19,0,0,0,5,0,2,0,2,0
